Dataset Name	AnnotatorID	VideoID	Plain Summary	Event 1	Start Timestamp Event 1	End Timestamp Event 1	Location Event 1	Event 2	Start Timestamp Event 2	End Timestamp Event 2	Location Event 2	Event 3	Start Timestamp Event 3	End Timestamp Event 3	Location Event 3	Event 4	Start Timestamp Event 4	End Timestamp Event 4	Location Event 4	Event 5	Start Timestamp Event 5	End Timestamp Event 5	Location Event 5	Event 6	Start Timestamp Event 6	End Timestamp Event 6	Location Event 6	Event 7	Start Timestamp Event 7	End Timestamp Event 7	Location Event 7	Event 8	Start Timestamp Event 8	End Timestamp Event 8	Location Event 8	Event 9	Start Timestamp Event 9	End Timestamp Event 9	Location Event 9	Event 10	Start Timestamp Event 10	End Timestamp Event 10	Location Event 10	Event 11	Start Timestamp Event 11	End Timestamp Event 11	Location Event 11	Event 12	Start Timestamp Event 12	End Timestamp Event 12	Location Event 12	Additional comments
MSVD	3	4lXdVS697DQ_10_25	The video shows two people sailing on a boat in the open sea	Two people are sailing on a boat	0:00:00	0:00:15	Outside, open sea, the camera is following the boat while it goes																																													
MSVD	3	lfGlDg47How_93_98	The video shows a man opening a package of cheese and letting it fall into a bowl	A man opens a package of cheese	0:00:00	0:00:03	Inside a kitchen	The cheese falls into a bowl	0:00:03	0:00:05	Inside a kitchen																																									
MSVD	3	urXDqw3S34I_12_17	The video shows a car with three people on board moving along a road surrounded by trees	A convertible car is moving along a road 	0:00:00	0:00:04	Outside, road surrounded by trees	Three people inside the car are shown: two seated in the front seats and one lying down in the back seats	0:00:04	0:00:05	Outside, shot on the car and the people inside it																																									
MSVD	3	H1Bok7Dg7g8_21_26	The video shows two puppets talking on the phone	A male puppet is talking on the phone	0:00:00	0:00:04	Inside a room	A female puppet is talking on the phone	0:00:04	0:00:05	Inside a (different) room																																									
MSVD	3	UJKythlXAIY_17_21	The video shows a four-person band playing and marching in place in a park	Four people are playing different instruments and marching in place	0:00:00	0:00:04	Outside, in a park																																													
MSVD	3	WAa4-cctmDk_55_70	The video shows an elderly lady talking and explaining a recipe, showing some parts of it as she goes along	An elderly lady is talking	0:00:00	0:00:02	Inside a room	An elderly lady is flattening dough	0:00:02	0:00:04	A close-up shot focusing on the hands and the dough	An elderly lady is talking	0:00:04	0:00:05	Inside a room	An elderly lady is flattening dough with a rolling pin	0:00:06	0:00:10	A close-up shot focusing on the hands and the dough	An elderly lady is talking	0:00:11	0:00:15	Inside a room																													
MSVD	3	yBK02O1Oewc_20_35	The video shows two people taking dough made from flour and water and shaping it into pretzels. The video is sped up	Two people are taking dough and shaping it into pretzels (3 times)	0:00:00	0:00:03	Inside a big kitchen																																													
MSVD	3	ITNh8tWZPOA_5_25	The video shows a skilled man playing the guitar fingerstyle while sitting on the bed	A man is playing the guitar 	0:00:00	0:00:20	Inside a bedroom																																													
MSVD	3	XNV7hKVu-Xg_40_47	The video shows some kids riding horses and driving a carriage, dressed as cowboys. The video is in black and white	Four kids are mounted on horses, lined up and ready to start	0:00:00	0:00:01	Outside, in a prairie	Five kids are riding horses	0:00:02	0:00:05	Outside, in a prairie	Two kids are driving a carriage	0:00:05	0:00:07	Outside, in a prairie																																					
MSVD	3	x1i0UOssll8_141_151	The video shows a shark chasing a fish and eventually eating it	A shark is chasing a fish	0:00:00	0:00:02	Outside, in the sea	A shark eats a fish	0:00:02	0:00:03	Outside, in the sea	A shark turns around and swims away	0:00:03	0:00:10	Outside, in the sea																																					
