Dataset Name	AnnotatorID	VideoID	Plain Summary	Event 1	Start Timestamp Event 1	End Timestamp Event 1	Location Event 1	Event 2	Start Timestamp Event 2	End Timestamp Event 2	Location Event 2	Event 3	Start Timestamp Event 3	End Timestamp Event 3	Location Event 3	Event 4	Start Timestamp Event 4	End Timestamp Event 4	Location Event 4	Event 5	Start Timestamp Event 5	End Timestamp Event 5	Location Event 5	Event 6	Start Timestamp Event 6	End Timestamp Event 6	Location Event 6	Event 7	Start Timestamp Event 7	End Timestamp Event 7	Location Event 7	Event 8	Start Timestamp Event 8	End Timestamp Event 8	Location Event 8	Event 9	Start Timestamp Event 9	End Timestamp Event 9	Location Event 9	Event 10	Start Timestamp Event 10	End Timestamp Event 10	Location Event 10	Event 11	Start Timestamp Event 11	End Timestamp Event 11	Location Event 11	Event 12	Start Timestamp Event 12	End Timestamp Event 12	Location Event 12	Event 12	Start Timestamp Event 12	End Timestamp Event 12	Location Event 12	Event 13	Start Timestamp Event 13	End Timestamp Event 13	Location Event 13	Event 14	Start Timestamp Event 14	End Timestamp Event 14	Location Event 14	Additional comments
TVSum	2	HT5vyqe0Xaw	The video shows the recovery of a truck that went off the road to bring a table to the countryside. 	A table is shown. The cameraman then walks to the street to show a story behind the track that brought the table	00:00:00	00:00:33	countryside, exterior of a house	The off-road truck is shown and how this is maintained to a tree so that it does not fall. In addition, the cameraman explains that another truck will arrive to pull the current one out	00:00:33	00:02:20	In an outdoor dirt road in nature	The other truck arrives to take away the stuck truck, is hooked up to the first one and brought back to the road	00:02:20	00:04:25	In an outdoor dirt road in nature		00:04:25	00:05:22	In an outdoor dirt road in nature																																													
TVSum	2	gzDbaEs1Rlg	the video shows how to use the tire repair kit offered by skoda in case you get a flat. 	Skoda logo shown on white background	00:00:00	00:00:02	none	A man introduces the video, explaining that it will show how to repair a flat tire with the repair kit provided in skoda vehicles, and how it works.	00:00:02	00:00:27	Countryside, near a car	It is shown what actions need to be taken before starting the repair phase	00:00:27	00:00:50	Inside a car	It is explained in which cases you can use the kit or when you need to call for assistance, at the end the skoda phone number for roadside assistance is shown	00:00:50	00:01:09	Countryside, near a car	The main items included inside the repair kit, inside the car's hood, are shown	00:01:09	00:01:19	Inside a car's hood	An warning sticker is attached to the machine	00:01:19	00:01:23	Inside a car	The man shows how to prepare the bottle of sealant before applying it in the wheel. Overlay shows that the bottle can be purchased from a skoda retailer	00:01:23	00:01:37	Countryside, near a car	The man removes the valve and pours the contents of the sealing bottle inside the wheel through a small tube	00:01:37	00:02:20	Countryside, near a car	The man inflates the tire through the compressor in the kit, attaching it to the machine's electricity. 	00:02:20	00:03:00	Countryside, near a car	The man says to check what is the correct pressure of the car's wheels, and that if this does not increase it means that the wheel is too damaged to be repaired with the kit	00:03:00	00:03:22	Countryside, near a car	Once the tire is inflated, the man closes the valve and puts the kit in place in the hood	00:03:22	00:03:30	Countryside, near a car	Man explains what are the crucial points to follow until the wheel is changed	00:03:30	00:03:54	Inside a car	A white screen with a background voice summarizes the main points to follow before changing the wheel	00:03:54	00:04:10	none	The man concludes the video by thanking for the attention	00:04:10	00:04:30	Inside a car	Some concluding messages are shown on screen, where it says that if you have further questions you can contact their support, the kit can be purchased from skoda retailers, and possible useful contacts. 	00:04:30	00:04:48	none	
TVSum	2	fWutDQy1nnY	The video shows the parade made for Chinese New Year 2008 in Vancouver's Chinatown	Some Chinese propaganda posters are shown with the words “Foreskin Radio.” Then a picture is shown with a drawing and some Chinese characters and the overlay inscription “Chinese New Year Parade 2008, Vancouver Chinatown”	00:00:00	00:00:10	none	A young man introduces the video by explaining where he is and that he is at the parade for the new year in Vancouver's Chinatown	00:00:10	00:00:49	Populous street with Chinese stores 	A person throws firecrackers in the street, exploding them	00:00:58	00:01:09	Populous street with Chinese stores 	The parade begins, several costumed people walk down the street and interact with observers on the sidewalks or choreograph 	00:01:09	00:06:27	Populous street with Chinese stores 	Some police cars pass by with their sirens on to open the way for the procession	00:06:27	00:06:43	Populous street with Chinese stores 	The procession is shown filling the chinatown street and advancing with a banner in front. Some people in costume are also shown here. Many have flags or placards in their hands.	00:06:43	00:07:20	Populous street with Chinese stores 	Person captures on camera a syringe on the ground 	00:07:20	00:07:26	street, near a sidewalk	a man inside a store sees inside some large glass jars. the cameraman shoots from the store's exterior window	00:07:26	00:08:03	Interior of a store	Several costumed people pose on a ladder and are photographed	00:08:03	00:08:10	In front of a building, there are stairs	The boy explains that he is now inside a garden and tells how the parade was	00:08:10	00:08:55	Inside a garden	cutaways of the garden and several carp found in its lakes are shown	00:08:55	00:09:38	Inside a garden																	
TVSum	2	eQu1rNs0an0	the video explains different techniques for braking with fixed gear bikes. Some visual examples of how to do this are also shown during the video	Introduction to the video where it is explained what will be discussed, i.e., how to stop with a fixed gear bike	00:00:00	00:00:05	Outside. In the background is a wall with a mural.	Channel music introductory video. Several clips of people riding bikes or working on bikes are shown	00:00:05	00:00:24	Different Locations, outside and inside	the presenter introduces what the problem is and that some tips will be proposed so that you can slow down the pace on the bike	00:00:24	00:00:46	Outside. In the background is a wall with a mural.	The first tip, the “skip stop,” is shown. It is explained theoretically how to do it. Meanwhile, a person is shown on screen applying the skip stop	00:00:46	00:01:00	Exterior. In the background is a wall with a mural. the person on the bike, on the other hand, is outside on a street	“New York,” which explains how to do skip stop step by step, is presented. While he is explaining he is shown performing that action	00:01:00	00:01:25	outside on a road	It describes how to do the “skidz stop”. Similar to the first tip, the presenter introduces the action, and then the guy theoretically explains how to perform it while videos show how to do it	00:01:25	00:01:55	outside on a road	It describes how to do the “back pressure”. Similar to the first two tips, the presenter introduces the action, and then the guy theoretically explains how to perform it while videos show how to do it	00:01:55	00:02:20	outside on a road	Conclusion of the video and thanks from the first presenter	00:02:20	00:02:36	Outside. In the background is a wall with a mural.	Screen showing the logo and website of the “Pure Fix TV” channel and the respective telegram and facebook pages	00:02:36	00:02:44	None																									
TVSum	2	byxOvuiIJV0	The video shows a flashmob that took place in Bangladesh 	ICC World Twenty20 Bangladesh 2014 and University of Information Technology & Sciences (UITS) symbols are shown.	00:00:00	00:00:02	none	There are some people who watch TV and cheer. Some children are also shown playing cricket	00:00:02	00:00:24	outdoors	There are people dancing in the square, meanwhile all around are others watching the performance	00:00:24	00:02:24	town square	the photo of the management team is shown	00:02:24	00:02:30	none																																													
TVSum	2	Bhxk-O1Y7Ho	The video shows the day of a girl trimming and bathing her dog. During the video, the girl also goes to a store	Video intro with an image of a city and the words “Just a Girl ATL”	00:00:00	00:00:07	none	The girl introduces the video and says what she will do during the day.	00:00:07	00:01:42	inside an apartment	Girl shows what products she will wash her dog with	00:01:07	00:01:30	inside an apartment	The girl's dog is shown getting ready to bathe him in the sink	00:01:30	00:01:50	inside an apartment	Having finished bathing the dog, it plays on the kitchen sink	00:01:50	00:02:50	inside an apartment	Girl walks inside a covered parking lot.	00:02:50	00:03:22	covered parking lot	The girl is inside a glassed-in elevator with another girl	00:03:22	00:03:31	in an elevator	The two girls walk around town and chat	00:03:31	00:04:25	On the pedestrian streets of a city 	The girl trimmed the dog and analyzes the result	00:04:25	00:06:25	In the apartment	The girl concludes the day's video by greeting and showing the dog	00:06:25	00:07:30	In the apartment																					
TVSum	2	b626MiF1ew4	The video shows a parkour group called "Charlotte Parkour" coming together to practice and conduct lessons on the subject. 	There are people who train	00:00:00	00:00:18	Outside, near a structure made of brick	One person from the group, Steven Erdmanczyk, is interviewed and explains what the group does. Meanwhile, videos of people doing parkour are also shown on the screen	00:00:18	00:01:25	Outside, near a structure made of brick	A person while doing parkour falls	00:01:25	00:01:30	Outside, near a structure made of brick	The interviewee explains that parkour classes are also conducted. Excerpts of the classes are shown, where teachers are explaining and students trying to replicate the exercises.	00:01:30	00:03:00	Outside, near a structure made of brick	Some kids do an exercise together where they have to jump from one wall to another 	00:03:00	00:03:44	Outside, near a structure made of brick	The boys are standing posing for a photo on a low wall. 	00:03:44	00:03:51	Outside, behind there is a clock tower made of briks	A black screen is shown with the words “CVP, Charlotte Video Project”	00:03:51	00:03:55	none																																	
TVSum	2	AwmHb44_ouw	This video explain and show how to remove the tire from a wheel without the use of special machines but using only a few screwdrivers	A man gives a brief introduction to the video explaining its purpose, i.e. changing wheels with a pair of screwdrivers	00:00:00	00:00:20	Outside a house	It is explained how to remove the inner tube from the wheels 	00:00:20	00:01:13	Outside a house	is shown how to remove the tire from the car using a jack	00:01:13	00:01:29	Outside a house	It is shown how to remove the inner tube from the wheel 	00:01:29	00:03:30	Outside a house	The wheel with the inner tube out is shown 	00:03:30	00:04:06	Outside a house	It is shown how to reinsert the inner tube into the wheel	00:04:06	00:05:10	Outside a house	the man concludes the video by giving more information on how to do this depending on the wheel you are working on	00:05:10	00:05:53	Outside a house																																	
TVSum	2	37rzWOQsNIw	The video shows two boys who bought some things to eat inside a chinese store called “Saigon Sandwich” and they try and comment on the different foods they bought	The exterior window of the “Saigon Sandwich” store is shown.	00:00:00	00:00:04	On a street in San Francisco	The inside of the store is shown and what it sells. A plaque from an award won for best sandwich in 2010 is shown at the beginning	00:00:04	00:00:20	Inside a grocery store 	The boys show and try the tofu sandwich	00:00:20	00:00:51	On a sidewalk in the city	The facade of the asian art museum is shown	00:00:40	00:00:45	On a sidewalk in the city	The boys try another sandwich called mixed combination	00:01:01	00:01:29	On a sidewalk in the city	A dog eats some of the sandwich that fell to the boys on the ground 	00:01:40	00:01:48	On a sidewalk in the city	Boys show and try Vietnamese bean pudding 	00:01:48	00:02:18	On a sidewalk in the city	Boys show and try rice with pork wrapped in a banana leaf	00:02:18	00:03:02	On a sidewalk in the city	a thank you to “Saigon Sandwitches” with the address of the place is shown on a black background, then a website “geoffmobile.com”	00:03:02	00:03:11	none																									
TVSum	2	3eYKfiOEJNs	The video shows news from a dog grooming store. Shown here is the store owner, his work, and feedback from some customers	The name of the newspaper, “The argentina independent,” is shown.	00:00:00	00:00:04	none	People walking through the city 	00:00:04	00:00:30	in the city	A person is interviewed who talks about her dog and her grooming	00:00:30	00:00:41	On a sidewalk in the city	An old lady is interviewed who talks about her dog and her grooming	00:00:41	00:00:48	Inside a store that sells pet products. 	It is shown how the store owner grooms dogs, washing them, drying them, trimming their hair and nails	00:00:48	00:01:43	Inside an enclosed room	The owner talks about a positive case of one of his clients	00:01:43	00:02:13	Inside an enclosed room	Elderly woman recounts her experience at the store	00:02:20	00:02:26	Inside a store that sells pet products. 	A person recounts his experience at the store	00:02:26	00:02:42	On a sidewalk in the city	Some dogs are shown during grooming, int he owner says many animals are extremely comfortable when they are there	00:02:46	00:03:01	Inside an enclosed room	The person drives away, from the window his dog barks	00:03:01	00:03:07	On a city street	A screen is shown with the site “www.argentinaindependent.com”	00:03:07	00:03:14	none																	
																																																																
